Coord: (  2,  92): -0.125000   -1.000000
Coord: (  2,  93): -0.142860   -1.000000
Coord: (  2,  94): -0.166670   -1.000000
Coord: (  2,  95): -0.200000   -1.000000
Coord: (  2,  96): -0.250000   -1.000000
Coord: (  2,  97): -0.333330   -1.000000
Coord: (  2,  98): -0.500000   -1.000000
Coord: (  2,  99): -1.000000   0.000000
Coord: (  2, 100): 0.000000   -1.000000
Coord: (  3,   1): 0.000000   1.000000
Coord: (  3,   2): -1.000000   0.500000
Coord: (  3,   3): -0.500000   0.500000
Coord: (  3,   4): -0.333330   0.500000
Coord: (  3,   5): -0.250000   0.500000
Coord: (  3,   6): -0.200000   0.500000
Coord: (  3,   7): -0.166670   0.500000
Coord: (  3,   8): -0.142860   0.500000
Coord: (  3,   9): -0.125000   0.500000
Coord: (  3,  10): -0.111110   0.500000
Coord: (  3,  11): -0.100000   0.500000
Coord: (  3,  12): -0.090910   0.500000
Coord: (  3,  13): -0.083330   0.500000
Coord: (  3,  14): -0.076920   0.500000
Coord: (  3,  15): -0.071430   0.500000
Coord: (  3,  16): -0.066670   0.500000
Coord: (  3,  17): -0.062500   0.500000
Coord: (  3,  18): -0.058820   0.500000
Coord: (  3,  19): -0.055560   0.500000
Coord: (  3,  20): 0.000000   0.500000
Coord: (  3,  21): 0.055560   0.500000
Coord: (  3,  22): 0.058820   0.500000
Coord: (  3,  23): 0.062500   0.500000
Coord: (  3,  24): 0.066670   0.500000
Coord: (  3,  25): 0.071430   0.500000
Coord: (  3,  26): 0.076920   0.500000
Coord: (  3,  27): 0.083330   0.500000
Coord: (  3,  28): 0.090910   0.500000
Coord: (  3,  29): 0.100000   0.500000
Coord: (  3,  30): 0.111110   0.500000
Coord: (  3,  31): 0.125000   0.500000
Coord: (  3,  32): 0.142860   0.500000
Coord: (  3,  33): 0.166670   0.500000
Coord: (  3,  34): 0.200000   0.500000
Coord: (  3,  35): 0.250000   0.500000
Coord: (  3,  36): 0.333330   0.500000
Coord: (  3,  37): 0.500000   0.500000
Coord: (  3,  38): 1.000000   0.000000
Coord: (  3,  39): 1.000000   0.000000
Coord: (  3,  40): 1.000000   0.000000
Coord: (  3,  41): 1.000000   0.000000
Coord: (  3,  42): 1.000000   0.000000
Coord: (  3,  43): 1.000000   0.000000
Coord: (  3,  44): 1.000000   0.000000
Coord: (  3,  45): 1.000000   0.000000
Coord: (  3,  46): 1.000000   0.000000
Coord: (  3,  47): 1.000000   0.000000
Coord: (  3,  48): 1.000000   0.000000
Coord: (  3,  49): 1.000000   0.000000
Coord: (  3,  50): 1.000000   0.000000
Coord: (  3,  51): 1.000000   0.000000
Coord: (  3,  52): 1.000000   0.000000
Coord: (  3,  53): 1.000000   0.000000
Coord: (  3,  54): 1.000000   0.000000
Coord: (  3,  55): 1.000000   0.000000
Coord: (  3,  56): 1.000000   0.000000
Coord: (  3,  57): 1.000000   0.000000
Coord: (  3,  58): 1.000000   0.000000
Coord: (  3,  59): 1.000000   0.000000
Coord: (  3,  60): 1.000000   0.000000
Coord: (  3,  61): 1.000000   0.000000
Coord: (  3,  62): 1.000000   0.000000
Coord: (  3,  63): 1.000000   -0.500000
Coord: (  3,  64): 0.500000   -0.500000
Coord: (  3,  65): 0.333330   -0.500000
Coord: (  3,  66): 0.250000   -0.500000
Coord: (  3,  67): 0.200000   -0.500000
Coord: (  3,  68): 0.166670   -0.500000
Coord: (  3,  69): 0.142860   -0.500000
Coord: (  3,  70): 0.125000   -0.500000
Coord: (  3,  71): 0.111110   -0.500000
Coord: (  3,  72): 0.100000   -0.500000
Coord: (  3,  73): 0.090910   -0.500000
Coord: (  3,  74): 0.083330   -0.500000
Coord: (  3,  75): 0.076920   -0.500000
Coord: (  3,  76): 0.071430   -0.500000
Coord: (  3,  77): 0.066670   -0.500000
Coord: (  3,  78): 0.062500   -0.500000
Coord: (  3,  79): 0.058820   -0.500000
Coord: (  3,  80): 0.055560   -0.500000
Coord: (  3,  81): 0.000000   -0.500000
Coord: (  3,  82): -0.055560   -0.500000
Coord: (  3,  83): -0.058820   -0.500000
Coord: (  3,  84): -0.062500   -0.500000
Coord: (  3,  85): -0.066670   -0.500000
Coord: (  3,  86): -0.071430   -0.500000
Coord: (  3,  87): -0.076920   -0.500000
Coord: (  3,  88): -0.083330   -0.500000
Coord: (  3,  89): -0.090910   -0.500000
Coord: (  3,  90): -0.100000   -0.500000
Coord: (  3,  91): -0.111110   -0.500000
Coord: (  3,  92): -0.125000   -0.500000
Coord: (  3,  93): -0.142860   -0.500000
Coord: (  3,  94): -0.166670   -0.500000
Coord: (  3,  95): -0.200000   -0.500000
Coord: (  3,  96): -0.250000   -0.500000
Coord: (  3,  97): -0.333330   -0.500000
Coord: (  3,  98): -0.500000   -0.500000
Coord: (  3,  99): -1.000000   0.000000
Coord: (  3, 100): 0.000000   -1.000000
Coord: (  4,   1): 0.000000   1.000000
Coord: (  4,   2): -1.000000   0.333330
Coord: (  4,   3): -0.500000   0.333330
Coord: (  4,   4): -0.333330   0.333330
Coord: (  4,   5): -0.250000   0.333330
Coord: (  4,   6): -0.200000   0.333330
Coord: (  4,   7): -0.166670   0.333330
Coord: (  4,   8): -0.142860   0.333330
Coord: (  4,   9): -0.125000   0.333330
Coord: (  4,  10): -0.111110   0.333330
Coord: (  4,  11): -0.100000   0.333330
Coord: (  4,  12): -0.090910   0.333330
Coord: (  4,  13): -0.083330   0.333330
Coord: (  4,  14): -0.076920   0.333330
Coord: (  4,  15): -0.071430   0.333330
Coord: (  4,  16): -0.066670   0.333330
Coord: (  4,  17): -0.062500   0.333330
Coord: (  4,  18): -0.058820   0.333330
Coord: (  4,  19): -0.055560   0.333330
Coord: (  4,  20): 0.000000   0.333330
Coord: (  4,  21): 0.055560   0.333330
Coord: (  4,  22): 0.058820   0.333330
Coord: (  4,  23): 0.062500   0.333330
Coord: (  4,  24): 0.066670   0.333330
Coord: (  4,  25): 0.071430   0.333330
Coord: (  4,  26): 0.076920   0.333330
Coord: (  4,  27): 0.083330   0.333330
Coord: (  4,  28): 0.090910   0.333330
Coord: (  4,  29): 0.100000   0.333330
Coord: (  4,  30): 0.111110   0.333330
Coord: (  4,  31): 0.125000   0.333330
Coord: (  4,  32): 0.142860   0.333330
Coord: (  4,  33): 0.166670   0.333330
Coord: (  4,  34): 0.200000   0.333330
Coord: (  4,  35): 0.250000   0.333330
Coord: (  4,  36): 0.333330   0.333330
Coord: (  4,  37): 0.500000   0.333330
Coord: (  4,  38): 1.000000   0.000000
Coord: (  4,  39): 1.000000   0.000000
Coord: (  4,  40): 1.000000   0.000000
Coord: (  4,  41): 1.000000   0.000000
Coord: (  4,  42): 1.000000   0.000000
Coord: (  4,  43): 1.000000   0.000000
Coord: (  4,  44): 1.000000   0.000000
Coord: (  4,  45): 1.000000   0.000000
Coord: (  4,  46): 1.000000   0.000000
Coord: (  4,  47): 1.000000   0.000000
Coord: (  4,  48): 1.000000   0.000000
Coord: (  4,  49): 1.000000   0.000000
Coord: (  4,  50): 1.000000   0.000000
Coord: (  4,  51): 1.000000   0.000000
Coord: (  4,  52): 1.000000   0.000000
Coord: (  4,  53): 1.000000   0.000000
Coord: (  4,  54): 1.000000   0.000000
